rowid,pl_hostname,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_bmassj,st_dist,st_teff,st_mass
1434,Kepler-1346,Transit,1,3.40165668,,,1123,6133,1.14
1435,Kepler-1347,Transit,1,14.00947528,,,321,5193,0.82
1436,Kepler-1348,Transit,1,27.5722742,,,1033,5911,1.04
1437,Kepler-1349,Transit,1,2.12823928,,,260,6086,1.16
1438,Kepler-135,Transit,2,6.00253,0.067,,,6090,
1439,Kepler-135,Transit,2,11.448708,0.103,,,6090,
1440,Kepler-1350,Transit,2,4.4968604,,,350,3827,0.55
1441,Kepler-1350,Transit,2,1.76678906,,,350,3827,0.55
1442,Kepler-1351,Transit,1,0.91614077,,,241,4439,0.7
1443,Kepler-1352,Transit,1,1.87788275,,,637,6118,1.11
1444,Kepler-1353,Transit,1,24.7543966,,,596,4776,0.76
1445,Kepler-1354,Transit,1,76.613377,,,1057,6168,1.16
1446,Kepler-1355,Transit,1,1.28958811,,,963,5352,0.88
1447,Kepler-1356,Transit,1,0.63400294,,,881,5106,0.82
1448,Kepler-1357,Transit,1,3.0091324,,,1026,5597,0.93
1449,Kepler-1358,Transit,1,7.06317341,,,558,5181,0.82
1450,Kepler-1359,Transit,1,59.4970952,,,669,4709,0.78
1451,Kepler-136,Transit,2,11.5789,0.106,,,6165,1.2
1452,Kepler-136,Transit,2,16.399235,0.133,,,6165,1.2
1453,Kepler-1360,Transit,1,40.5286413,,,1405,6778,1.51
1454,Kepler-1361,Transit,1,3.57554956,,,404,5131,0.83
1455,Kepler-1362,Transit,1,136.205626,,,767,4857,0.8
1456,Kepler-1363,Transit,1,2.94194094,,,559,4839,0.76
1457,Kepler-1364,Transit,1,13.32196237,,,1149,6805,1.49
1458,Kepler-1365,Transit,2,7.69993485,,,541,5770,1
1459,Kepler-1365,Transit,2,4.77468005,,,541,5770,1
1460,Kepler-1366,Transit,1,2.16457097,,,395,4070,0.62
1461,Kepler-1367,Transit,1,1.57409027,,,357,4106,0.62
1462,Kepler-1368,Transit,1,0.67564949,,,1750,5906,1.07
1463,Kepler-1369,Transit,1,25.873148,,,1236,5761,0.99
1464,Kepler-137,Transit,2,8.436387,0.077,,,5187,
1465,Kepler-137,Transit,2,18.735753,0.13,,,5187,
1466,Kepler-1370,Transit,2,20.2641684,,,878,6202,1.19
1467,Kepler-1370,Transit,2,7.44142113,,,878,6202,1.19
1468,Kepler-1371,Transit,2,3.4462039,,,450,5361,0.87
1469,Kepler-1371,Transit,2,2.00541269,,,450,5361,0.87
1470,Kepler-1372,Transit,1,1.31155557,,,1161,5677,0.98
1471,Kepler-1373,Transit,1,1.29123275,,,1112,6299,1.22
1472,Kepler-1374,Transit,1,10.65276707,,,1135,5323,0.85
1473,Kepler-1375,Transit,1,3.3004192,,,1238,6704,1.47
1474,Kepler-1376,Transit,1,5.30880656,,,864,5659,0.98
1475,Kepler-1377,Transit,1,0.74092842,,,1019,5218,0.86
1476,Kepler-1378,Transit,1,11.95398936,,,562,4407,0.7
1477,Kepler-1379,Transit,1,0.88184115,,,951,5188,0.83
1478,Kepler-138,Transit,3,10.3126,,0.00021,,3841,0.52
1479,Kepler-138,Transit,3,13.7813,,0.0062,,3841,0.52
1480,Kepler-138,Transit,3,23.0881,,0.00201,,3841,0.52
1481,Kepler-1380,Transit,1,10.3108245,,,1209,5570,0.96
1482,Kepler-1381,Transit,1,25.3842686,,,1306,5747,0.96
1483,Kepler-1382,Transit,1,16.3583055,,,730,6161,1.36
1484,Kepler-1383,Transit,1,13.9093583,,,961,6370,1.26
1485,Kepler-1384,Transit,1,15.36262753,,,618,4919,0.78
1486,Kepler-1385,Transit,1,2.88879862,,,527,5732,1.15
1487,Kepler-1386,Transit,1,6.73972381,,,838,5733,1.02
1488,Kepler-1387,Transit,1,2.27952666,,,491,5046,0.82
1489,Kepler-1388,Transit,4,12.2854603,,,492,4098,0.63
1490,Kepler-1388,Transit,4,5.53608151,,,492,4098,0.63
1491,Kepler-1388,Transit,4,20.9568158,,,492,4098,0.63
1492,Kepler-1388,Transit,4,37.6327084,,,492,4098,0.63
1493,Kepler-1389,Transit,1,99.2530951,,,521,5078,0.81
1494,Kepler-139,Transit,2,15.771044,0.127,,,5594,1.08
1495,Kepler-139,Transit,2,157.072878,0.586,,,5594,1.08
1496,Kepler-1390,Transit,1,6.48021673,,,760,5753,0.98
1497,Kepler-1391,Transit,1,54.4092333,,,721,5840,1.03
1498,Kepler-1392,Transit,1,15.1410397,,,1117,5479,0.88
1499,Kepler-1393,Transit,1,2.44357812,,,462,5697,0.95
1500,Kepler-1394,Transit,1,3.93766373,,,820,6481,1.64
1501,Kepler-1395,Transit,1,3.78470649,,,507,6138,1.17
1502,Kepler-1396,Transit,1,18.2206421,,,1236,6195,1.18
1503,Kepler-1397,Transit,1,47.449955,,,770,6026,1.09
1504,Kepler-1398,Transit,2,2.78815679,,,793,6126,1.13
1505,Kepler-1398,Transit,2,4.13827595,,,793,6126,1.13
1506,Kepler-1399,Transit,1,1.63865306,,,1256,5735,0.97
1507,Kepler-14,Transit,1,6.790123,,8.4,980,6395,1.51
1508,Kepler-140,Transit,2,3.25427,0.045,,,6077,
1509,Kepler-140,Transit,2,91.353282,0.414,,,6077,
1510,Kepler-1400,Transit,1,9.06689421,,,879,5044,0.83
1511,Kepler-1401,Transit,1,11.20066445,,,1242,5964,1.07
1512,Kepler-1402,Transit,1,2.03387914,,,681,5416,0.9
1513,Kepler-1403,Transit,1,5.19492202,,,1801,6060,1.11
1514,Kepler-1404,Transit,1,15.9314739,,,946,5261,0.84
1515,Kepler-1405,Transit,1,28.2274184,,,1605,5925,1.05
1516,Kepler-1406,Transit,1,11.62905828,,,587,5892,1.05
1517,Kepler-1407,Transit,1,20.0711504,,,1275,6010,1.1
1518,Kepler-1408,Transit,1,2.99793191,,,426,6170,1.21
1519,Kepler-1409,Transit,1,0.76486493,,,722,5160,0.83
1520,Kepler-141,Transit,2,3.107675,0.039,,,4910,1
1521,Kepler-141,Transit,2,7.010606,0.067,,,4910,1
1522,Kepler-1410,Transit,1,60.866168,,,367,4092,0.63
1523,Kepler-1411,Transit,1,86.1150888,,,1431,5664,0.95
1524,Kepler-1412,Transit,1,3.6146051,,,639,5880,1.06
1525,Kepler-1413,Transit,1,13.1829642,,,1162,5196,0.84
1526,Kepler-1414,Transit,1,3.51576315,,,534,4951,0.8
1527,Kepler-1415,Transit,1,0.63642408,,,1066,5267,0.89
1528,Kepler-1416,Transit,1,1.49514952,,,807,6019,1.09
1529,Kepler-1417,Transit,1,20.3505213,,,656,5839,1.02
1530,Kepler-1418,Transit,1,22.4764425,,,499,4770,0.77
1531,Kepler-1419,Transit,1,42.5215895,,,1444,5796,1.01
1532,Kepler-142,Transit,3,2.024152,0.032,,,5790,0.99
1533,Kepler-142,Transit,3,4.761702,0.057,,,5790,0.99
1534,Kepler-142,Transit,3,41.809118,0.242,,,5790,0.99
1535,Kepler-1420,Transit,1,6.69960006,,,923,5187,0.82
1536,Kepler-1421,Transit,1,6.9131112,,,675,6335,1.25
1537,Kepler-1422,Transit,1,18.6051942,,,2081,6194,1.15
1538,Kepler-1423,Transit,1,23.955378,,,449,4939,0.79
1539,Kepler-1424,Transit,1,29.6091744,,,620,5838,1.02
1540,Kepler-1425,Transit,1,14.4541302,,,499,5718,0.97
1541,Kepler-1426,Transit,1,14.2563227,,,1211,5831,1.02
1542,Kepler-1427,Transit,1,0.96897238,,,1220,5793,1.01
1543,Kepler-1428,Transit,1,10.67607169,,,802,6184,1.28
1544,Kepler-1429,Transit,1,4.48487493,,,1156,5902,1.05
1545,Kepler-143,Transit,2,16.007583,0.127,,,5848,
1546,Kepler-143,Transit,2,27.082511,0.181,,,5848,
1547,Kepler-1430,Transit,1,2.46050993,,,541,4796,0.77
